Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code,FSA
146637,2018-02-15T10:37:00.000Z,2018-02-15T10:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,123,Cliffcrest (123),135406,43.7111244,-79.2481842,M1N 1V3,M1N
20770,2018-08-04T00:37:00.000Z,2018-08-04T00:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),19847,43.699131,-79.2543335,M1N 3K3,M1N
19789,2018-11-03T23:30:00.000Z,2018-11-03T23:44:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),18816,43.699131,-79.2543335,M1N 3K3,M1N
149216,2018-04-24T01:24:00.000Z,2018-04-24T01:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),137079,43.699131,-79.2543335,M1N 3K3,M1N
143008,2018-11-07T06:55:00.000Z,2018-11-07T06:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),132133,43.699131,-79.2543335,M1N 3K3,M1N
143009,2018-11-07T06:55:00.000Z,2018-11-07T06:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),132234,43.699131,-79.2543335,M1N 3K3,M1N
159750,2018-06-27T13:45:00.000Z,2018-06-27T13:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),147352,43.699131,-79.2543335,M1N 3K3,M1N
30857,2018-01-31T10:30:00.000Z,2018-01-31T21:31:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,122,Birchcliffe-Cliffside (122),28332,43.699131,-79.2543335,M1N 3K3,M1N
16265,2018-01-06T11:09:00.000Z,2018-01-09T11:09:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),15016,43.7148438,-79.252243,M1N 3X3,M1N
137632,2018-03-29T20:15:00.000Z,2018-03-29T21:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,127,Bendale (127),127841,43.7537689,-79.2631149,M1P 0A2,M1P
21203,2018-01-05T16:00:00.000Z,2018-01-08T18:46:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),19131,43.7498207,-79.2821121,M1P 1S4,M1P
19868,2018-05-29T11:51:00.000Z,2018-05-29T11:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),18410,43.7694244,-79.2822571,M1P 2M8,M1P
30774,2018-02-07T06:45:00.000Z,2018-02-07T19:47:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,126,Dorset Park (126),28759,43.7505608,-79.269783,M1P 2R7,M1P
99326,2018-05-11T20:00:00.000Z,2018-05-11T21:14:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),91811,43.7544174,-79.2509308,M1P 2V6,M1P
137895,2018-05-30T23:00:00.000Z,2018-05-30T23:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,127,Bendale (127),127199,43.7669296,-79.262207,M1P 3Y2,M1P
83579,2018-06-14T23:28:00.000Z,2018-06-14T23:28:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),77092,43.7685051,-79.2853088,M1P 4S3,M1P
32353,2018-11-04T15:26:00.000Z,2018-11-04T17:28:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),29488,43.7715759,-79.2859497,M1P 4T9,M1P
16824,2018-05-09T18:00:00.000Z,2018-05-09T18:11:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),15329,43.7689018,-79.285553,M1P 4V1,M1P
160280,2018-08-27T18:55:00.000Z,2018-08-27T18:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),147110,43.7689018,-79.285553,M1P 4V1,M1P
91655,2018-12-10T22:29:00.000Z,2018-12-10T22:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),84419,43.7506104,-79.2681274,M1P 4V3,M1P
103802,2018-09-19T10:30:00.000Z,2018-09-19T11:13:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),95406,43.7506104,-79.2681274,M1P 4V3,M1P
16594,2018-05-15T08:27:00.000Z,2018-05-15T08:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),15469,43.7725296,-79.2546463,M1P 4Y7,M1P
152556,2018-09-17T19:00:00.000Z,2018-09-23T09:21:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),140500,43.7725296,-79.2546463,M1P 4Y7,M1P
20358,2018-05-19T14:50:00.000Z,2018-05-19T14:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),18063,43.7303886,-79.3050003,M1R 1P1,M1R
20359,2018-05-19T14:50:00.000Z,2018-05-19T14:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),18064,43.7303886,-79.3050003,M1R 1P1,M1R
91561,2018-09-25T23:00:00.000Z,2018-10-09T10:59:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),84561,43.7288933,-79.3043823,M1R 1P1,M1R
155272,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),143101,43.742466,-79.2967377,M1R 1Y7,M1R
155273,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),143102,43.742466,-79.2967377,M1R 1Y7,M1R
154832,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),142784,43.742466,-79.2967377,M1R 1Y7,M1R
108453,2018-12-19T16:37:00.000Z,2018-12-19T16:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),100126,43.747963,-79.311821,M1R 2V2,M1R
