,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
16642,176587,2018-12-28T16:00:00.000Z,2018-12-29T02:43:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D33,47,Don Valley Village (47),163786,43.7751083,-79.3470383,
16643,176588,2018-12-28T14:30:00.000Z,2018-12-31T11:35:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),163787,43.7010803,-79.5951767,
16644,176594,2018-12-21T07:00:00.000Z,2018-12-21T07:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,77,Waterfront Communities-The Island (77),163788,43.6501999,-79.3621368,
16645,176595,2018-12-21T07:00:00.000Z,2018-12-21T07:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,77,Waterfront Communities-The Island (77),163789,43.6501999,-79.3621368,
16646,176596,2018-12-21T07:00:00.000Z,2018-12-21T07:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,77,Waterfront Communities-The Island (77),163790,43.6501999,-79.3621368,
16647,176629,2018-05-30T18:15:00.000Z,2018-05-30T21:38:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D33,53,Henry Farm (53),163822,43.773571,-79.3445892,
16648,176630,2018-06-08T17:45:00.000Z,2018-06-08T17:49:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),163823,43.7191582,-79.6034622,
16649,176631,2018-06-09T19:30:00.000Z,2018-06-09T20:38:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D41,138,Eglinton East (138),163824,43.7358513,-79.2520523,
16650,176637,2018-06-08T00:01:00.000Z,2018-06-08T17:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,113,Weston (113),163830,43.7056732,-79.5198822,
16651,176639,2018-06-11T14:10:00.000Z,2018-06-11T14:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),163832,43.7152672,-79.5718155,
16652,176640,2018-06-11T14:10:00.000Z,2018-06-11T14:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),163833,43.7152672,-79.5718155,
16653,176220,2018-12-14T16:30:00.000Z,2018-12-15T17:54:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,75,Church-Yonge Corridor (75),163899,43.6673737,-79.3816376,
16654,176252,2018-06-09T14:37:00.000Z,2018-06-09T14:37:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D54,54,O'Connor-Parkview (54),163930,43.7000694,-79.3022003,
16655,176253,2018-06-09T17:00:00.000Z,2018-06-09T23:40:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D41,119,Wexford/Maryvale (119),163931,43.7694817,-79.302269,
16656,176135,2018-05-23T18:00:00.000Z,2018-05-24T12:48:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,30,Brookhaven-Amesbury (30),163980,43.7055969,-79.4773865,
16657,176136,2018-03-16T10:00:00.000Z,2018-03-16T16:59:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D22,15,Kingsway South (15),163981,43.6473656,-79.5113602,
16658,176141,2018-06-02T19:54:00.000Z,2018-06-04T08:33:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,21,Humber Summit (21),163986,43.7642136,-79.5532455,
16659,176142,2018-06-03T18:00:00.000Z,2018-06-04T13:21:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,102,Forest Hill North (102),163987,43.7028961,-79.4224091,
16660,176143,2018-06-12T01:03:00.000Z,2018-06-13T01:03:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D32,50,Newtonbrook East (50),163988,43.7816391,-79.4160004,
16661,176147,2018-06-02T11:00:00.000Z,2018-06-11T12:23:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D22,16,Stonegate-Queensway (16),163992,43.6448593,-79.4944382,
16662,176150,2018-06-15T22:00:00.000Z,2018-06-16T06:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,115,Mount Dennis (115),163995,43.68713,-79.4898605,
16663,176151,2018-06-17T22:30:00.000Z,2018-06-18T07:52:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,111,Rockcliffe-Smythe (111),163996,43.6788063,-79.4829025,
16664,176154,2018-06-17T21:00:00.000Z,2018-06-18T08:09:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D13,31,Yorkdale-Glen Park (31),163999,43.7054863,-79.4424133,
16665,176155,2018-06-17T21:00:00.000Z,2018-06-18T08:09:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D13,31,Yorkdale-Glen Park (31),164000,43.7054863,-79.4424133,
16666,176920,2018-07-10T22:00:00.000Z,2018-07-11T07:32:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164002,43.7429543,-79.6000977,
16667,176921,2018-07-10T22:30:00.000Z,2018-07-12T09:25:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D32,32,Englemount-Lawrence (32),164004,43.727829,-79.4406738,
16668,176922,2018-07-09T03:00:00.000Z,2018-07-09T07:26:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,70,South Riverdale (70),164006,43.6390648,-79.3466644,
16669,176923,2018-07-09T03:00:00.000Z,2018-07-09T07:26:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,70,South Riverdale (70),164009,43.6390648,-79.3466644,
16670,176926,2018-07-10T23:45:00.000Z,2018-07-12T23:21:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D32,36,Newtonbrook West (36),164018,43.7859192,-79.4460526,
16671,177169,2018-07-04T23:00:00.000Z,2018-07-05T11:07:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,63,The Beaches (63),164055,43.6743736,-79.3016129,
16672,177188,2018-12-31T17:10:00.000Z,2018-12-31T17:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D32,51,Willowdale East (51),164064,43.7737808,-79.414032,
16673,177208,2018-08-02T07:30:00.000Z,2018-08-02T10:04:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,127,Bendale (127),164076,43.7698517,-79.2565536,
16674,177232,2018-06-04T15:28:00.000Z,2018-06-04T15:28:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,95,Annex (95),164099,43.67136,-79.3901978,
16675,177234,2018-06-10T00:01:00.000Z,2018-06-10T15:44:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D14,77,Waterfront Communities-The Island (77),164101,43.6407509,-79.4014206,
16676,177252,2018-06-28T21:00:00.000Z,2018-06-29T07:07:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,63,The Beaches (63),164102,43.6743546,-79.2954102,
16677,177255,2018-08-05T14:00:00.000Z,2018-08-06T14:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,127,Bendale (127),164105,43.7736168,-79.2611313,
16678,177257,2018-06-10T16:20:00.000Z,2018-06-10T19:56:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,3,Thistletown-Beaumond Heights (3),164107,43.7374573,-79.5665817,
16679,177259,2018-06-08T19:00:00.000Z,2018-06-08T21:42:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,26,Downsview-Roding-CFB (26),164109,43.7198334,-79.5138016,
16680,177260,2018-06-08T21:30:00.000Z,2018-06-09T13:05:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D22,20,Alderwood (20),164110,43.6000137,-79.5444794,
16681,177261,2018-06-10T11:00:00.000Z,2018-06-11T09:03:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,133,Centennial Scarborough (133),164111,43.7840538,-79.1692047,
16682,177262,2018-06-08T19:00:00.000Z,2018-06-09T17:15:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,111,Rockcliffe-Smythe (111),164112,43.6753769,-79.5058289,
