,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
852,159477,2018-02-18T20:45:00.000Z,2018-02-18T20:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),146800,43.7957802,-79.2236862,M1B 1H5
93,21411,2018-02-25T23:45:00.000Z,2018-02-26T00:07:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),19083,43.812851,-79.2302475,M1B 1V8
445,89472,2018-11-10T06:30:00.000Z,2018-11-10T07:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),82625,43.7915154,-79.2378235,M1B 2W1
549,96286,2018-06-09T11:30:00.000Z,2018-06-09T11:34:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),88859,43.8118591,-79.2112122,M1B 3Z1
464,90197,2018-10-29T21:56:00.000Z,2018-10-29T21:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,134,Highland Creek (134),83421,43.7921066,-79.1568756,M1C 1L4
755,93453,2018-02-18T10:40:00.000Z,2018-02-18T12:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,134,Highland Creek (134),86812,43.7892799,-79.1943588,M1C 5J1
320,81393,2018-03-25T19:40:00.000Z,2018-03-25T19:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),75296,43.7682648,-79.1967163,M1E 1X4
13,16209,2018-02-02T01:58:00.000Z,2018-02-02T01:58:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),15831,43.7676544,-79.1896133,M1E 2N5
431,87139,2018-04-01T17:30:00.000Z,2018-09-24T18:08:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),80582,43.7676544,-79.1896133,M1E 2N5
522,91914,2018-09-25T18:45:00.000Z,2018-09-25T18:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),85956,43.7676544,-79.1896133,M1E 2N5
772,151288,2018-07-31T14:15:00.000Z,2018-07-31T14:20:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),139782,43.7676544,-79.1896133,M1E 2N5
957,151694,2018-08-08T12:25:00.000Z,2018-08-08T12:27:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),140330,43.7676544,-79.1896133,M1E 2N5
1004,17252,2018-01-09T00:00:00.000Z,2018-02-03T20:00:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),15168,43.7676544,-79.1896133,M1E 2N5
1089,19401,2018-02-12T00:01:00.000Z,2018-02-20T15:34:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),17728,43.7676544,-79.1896133,M1E 2N5
1295,31670,2018-08-15T16:00:00.000Z,2018-08-15T17:46:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),28212,43.7676544,-79.1896133,M1E 2N5
123,20813,2018-10-14T16:55:00.000Z,2018-10-14T16:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),19888,43.7684631,-79.1911087,M1E 2R8
833,158267,2018-01-09T07:00:00.000Z,2018-01-09T16:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),145347,43.7664986,-79.1948929,M1E 2S2
602,106199,2018-11-11T13:15:00.000Z,2018-11-13T13:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),98816,43.7711601,-79.1739273,M1E 2T1
485,90957,2018-10-24T17:10:00.000Z,2018-10-24T17:10:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),84366,43.7732735,-79.1921844,M1E 3B1
486,90958,2018-10-24T17:10:00.000Z,2018-10-24T17:10:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),84367,43.7732735,-79.1921844,M1E 3B1
338,83828,2018-08-06T23:05:00.000Z,2018-08-06T23:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),77618,43.7666092,-79.1856613,M1E 3E1
905,160713,2018-10-21T14:00:00.000Z,2018-10-21T14:19:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),148990,43.7666092,-79.1856613,M1E 3E1
452,89299,2018-09-08T03:13:00.000Z,2018-09-08T06:40:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,135,Morningside (135),82993,43.784832,-79.1954346,M1E 4C3
553,99587,2018-09-02T15:51:00.000Z,2018-09-02T15:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,135,Morningside (135),91167,43.784832,-79.1954346,M1E 4C3
886,160984,2018-10-29T17:00:00.000Z,2018-11-30T09:40:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,135,Morningside (135),148190,43.784832,-79.1954346,M1E 4C3
922,135415,2018-03-29T21:21:00.000Z,2018-03-29T21:21:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,135,Morningside (135),125727,43.784832,-79.1954346,M1E 4C3
1152,17697,2018-04-26T05:30:00.000Z,2018-04-26T15:14:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,135,Morningside (135),16829,43.784832,-79.1954346,M1E 4C3
1262,19786,2018-10-22T01:06:00.000Z,2018-10-22T01:06:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,137,Woburn (137),18813,43.7558708,-79.2172546,M1G 1A4
136,20178,2018-04-06T17:07:00.000Z,2018-04-07T15:49:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),18225,43.7580299,-79.2229996,M1G 1C2
816,153179,2018-10-31T18:00:00.000Z,2018-10-31T18:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),141451,43.7596092,-79.221199,M1G 1C8
224,31266,2018-03-16T23:38:00.000Z,2018-03-16T23:38:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),28995,43.7602196,-79.2167892,M1G 1G7
473,90099,2018-09-01T14:29:00.000Z,2018-09-01T14:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),83624,43.7610931,-79.2108078,M1G 1P1
307,80237,2018-02-15T23:00:00.000Z,2018-02-15T23:36:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),74146,43.7622566,-79.2139359,M1G 1P9
299,78161,2018-03-04T12:02:00.000Z,2018-03-04T12:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),72392,43.7639694,-79.2047806,M1G 1R9
770,151561,2018-10-13T09:37:00.000Z,2018-10-13T09:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),139617,43.7639694,-79.2047806,M1G 1R9
499,92298,2018-03-01T17:00:00.000Z,2018-10-29T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),85016,43.762867,-79.2110519,M1G 2B8
1030,16229,2018-01-18T06:00:00.000Z,2018-01-18T18:18:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,137,Woburn (137),15848,43.762867,-79.2110519,M1G 2B8
882,160140,2018-08-05T20:20:00.000Z,2018-08-05T20:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),147928,43.7756424,-79.2289352,M1G 2V7
509,92186,2018-10-07T13:30:00.000Z,2018-10-07T13:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),85581,43.7593193,-79.2320251,M1H 1R4
640,137126,2018-03-30T15:15:00.000Z,2018-03-30T15:18:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),126730,43.7593193,-79.2320251,M1H 1R4
434,86838,2018-06-30T09:40:00.000Z,2018-06-30T11:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,137,Woburn (137),80922,43.7812462,-79.2515488,M1H 3H3
482,91057,2018-09-30T19:30:00.000Z,2018-10-08T20:54:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),84054,43.740593,-79.239296,M1J 0A1
544,95334,2018-11-23T18:00:00.000Z,2018-11-23T18:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),88152,43.740593,-79.239296,M1J 0A1
631,133953,2018-01-14T13:23:00.000Z,2018-01-14T13:26:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),123002,43.740593,-79.239296,M1J 0A1
514,91844,2018-01-07T19:00:00.000Z,2018-01-09T19:47:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),85653,43.7399254,-79.2455292,M1J 1E8
515,91845,2018-01-07T19:00:00.000Z,2018-01-09T19:47:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),85654,43.7399254,-79.2455292,M1J 1E8
617,103944,2018-09-21T19:53:00.000Z,2018-09-21T19:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),96636,43.7399254,-79.2455292,M1J 1E8
618,103945,2018-09-21T19:53:00.000Z,2018-09-21T19:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),96637,43.7399254,-79.2455292,M1J 1E8
879,160477,2018-09-13T16:54:00.000Z,2018-09-13T16:54:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),147868,43.7399254,-79.2455292,M1J 1E8
1210,21045,2018-07-04T10:40:00.000Z,2018-07-04T14:37:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,138,Eglinton East (138),19815,43.7399254,-79.2455292,M1J 1E8
46,18798,2018-05-19T07:00:00.000Z,2018-05-19T08:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),17384,43.7447929,-79.2447205,M1J 1G4
171,31402,2018-07-05T13:59:00.000Z,2018-07-05T13:59:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),28028,43.7495461,-79.2444687,M1J 1H5
688,149076,2018-04-08T16:43:00.000Z,2018-04-08T16:43:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),137423,43.7465439,-79.2203293,M1J 3C5
216,30993,2018-02-21T13:41:00.000Z,2018-02-21T13:41:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),28817,43.7450218,-79.219696,M1J 3G1
373,85424,2018-02-22T23:33:00.000Z,2018-02-22T23:33:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),79503,43.7415199,-79.2331238,M1J 3K1
395,84716,2018-02-22T23:33:00.000Z,2018-02-22T23:33:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),78879,43.7415199,-79.2331238,M1J 3K1
208,30786,2018-03-05T20:30:00.000Z,2018-03-06T01:06:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),28770,43.7416115,-79.2397308,M1J 3M3
842,158398,2018-02-03T10:52:00.000Z,2018-02-03T10:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,138,Eglinton East (138),146033,43.7381363,-79.2379379,M1J 3P4
785,154975,2018-06-26T23:16:00.000Z,2018-06-26T23:16:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),143589,43.7092056,-79.2690201,M1K 1N8
973,154440,2018-06-26T23:16:00.000Z,2018-06-26T23:16:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),142520,43.7092056,-79.2690201,M1K 1N8
60,17407,2018-01-08T08:00:00.000Z,2018-01-14T15:18:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,125,Ionview (125),16005,43.7338181,-79.2686081,M1K 2C8
61,17408,2018-01-08T08:00:00.000Z,2018-01-14T15:18:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,125,Ionview (125),16006,43.7338181,-79.2686081,M1K 2C8
400,87629,2018-05-25T13:15:00.000Z,2018-05-25T13:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,125,Ionview (125),81143,43.7338181,-79.2686081,M1K 2C8
1380,32885,2018-11-23T08:00:00.000Z,2018-11-23T20:41:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,125,Ionview (125),29696,43.7338181,-79.2686081,M1K 2C8
547,95726,2018-04-24T01:20:00.000Z,2018-04-25T03:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,138,Eglinton East (138),88500,43.7358513,-79.2520523,M1K 2S2
526,94050,2018-12-14T13:00:00.000Z,2018-12-14T13:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,124,Kennedy Park (124),87301,43.727829,-79.2641907,M1K 3M6
1323,31256,2018-05-07T05:00:00.000Z,2018-05-07T15:29:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,120,Clairlea-Birchmount (120),28985,43.7031975,-79.272171,M1L 0B1
1104,18967,2018-11-06T09:10:00.000Z,2018-11-06T20:05:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,121,Oakridge (121),17890,43.6916389,-79.2865524,M1L 1A9
368,86092,2018-07-16T23:30:00.000Z,2018-07-17T00:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,121,Oakridge (121),79337,43.7032204,-79.2795181,M1L 1N7
639,136500,2018-04-07T09:44:00.000Z,2018-04-07T09:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,121,Oakridge (121),126500,43.7032204,-79.2795181,M1L 1N7
912,161819,2018-08-30T01:25:00.000Z,2018-08-30T01:25:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,121,Oakridge (121),149146,43.7032204,-79.2795181,M1L 1N7
904,161143,2018-01-24T00:00:00.000Z,2018-01-25T18:46:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),148928,43.7089615,-79.2949295,M1L 1T7
1286,31419,2018-05-23T13:10:00.000Z,2018-05-23T16:07:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,119,Wexford/Maryvale (119),28044,43.7266884,-79.3034668,M1L 2N6
325,81991,2018-03-25T07:54:00.000Z,2018-03-25T07:54:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),75458,43.7130814,-79.2934799,M1L 2S1
71,18295,2018-08-31T13:32:00.000Z,2018-08-31T13:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,121,Oakridge (121),16362,43.6982384,-79.2779388,M1L 3Y1
364,86268,2018-07-18T06:40:00.000Z,2018-07-18T06:42:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,121,Oakridge (121),79191,43.699543,-79.2758026,M1L 3Z4
635,133717,2018-01-06T20:35:00.000Z,2018-01-06T20:35:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),123749,43.7104797,-79.2715836,M1L 4L5
764,150677,2018-09-04T15:50:00.000Z,2018-09-04T16:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,120,Clairlea-Birchmount (120),139255,43.7104797,-79.2715836,M1L 4L5
1153,17698,2018-04-25T09:30:00.000Z,2018-04-26T19:28:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,120,Clairlea-Birchmount (120),16830,43.7124443,-79.2724075,M1L 4L5
1348,32103,2018-06-21T12:00:00.000Z,2018-07-06T12:28:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,123,Cliffcrest (123),29402,43.7208786,-79.2414474,M1M 1M5
1260,19772,2018-08-28T13:30:00.000Z,2018-08-28T18:48:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,123,Cliffcrest (123),18789,43.7187309,-79.2397919,M1M 1M8
389,84394,2018-02-12T22:00:00.000Z,2018-02-12T22:08:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,123,Cliffcrest (123),78682,43.7265778,-79.2307587,M1M 1P1
404,87849,2018-06-17T20:00:00.000Z,2018-06-17T21:36:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),81272,43.7342186,-79.2221222,M1M 1P8
771,150919,2018-07-31T13:33:00.000Z,2018-07-31T13:33:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,123,Cliffcrest (123),139637,43.724865,-79.2340927,M1M 2T3
89,17839,2018-04-05T18:25:00.000Z,2018-04-05T18:25:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),16928,43.7399826,-79.2279282,M1M 3P6
90,18074,2018-07-12T23:27:00.000Z,2018-07-12T23:27:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),16988,43.7399826,-79.2279282,M1M 3P6
139,19716,2018-08-12T23:30:00.000Z,2018-08-12T23:35:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),18367,43.7399826,-79.2279282,M1M 3P6
177,31489,2018-06-30T04:04:00.000Z,2018-06-30T04:04:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),28112,43.7399826,-79.2279282,M1M 3P6
313,80170,2018-02-21T00:00:00.000Z,2018-02-21T00:07:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),74889,43.7399826,-79.2279282,M1M 3P6
830,157173,2018-09-21T04:32:00.000Z,2018-09-21T04:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),145120,43.7399826,-79.2279282,M1M 3P6
923,135509,2018-03-15T21:53:00.000Z,2018-03-15T21:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),125800,43.7399826,-79.2279282,M1M 3P6
56,19455,2018-07-28T16:05:00.000Z,2018-07-28T16:05:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,139,Scarborough Village (139),17773,43.7360115,-79.2227173,M1M 3S7
1115,17489,2018-04-17T07:30:00.000Z,2018-04-18T12:24:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,122,Birchcliffe-Cliffside (122),16082,43.6747742,-79.2787476,M1N 1A2
163,19997,2018-01-24T13:39:00.000Z,2018-01-26T13:39:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),18940,43.7021065,-79.2538681,M1N 1J3
298,78640,2018-02-23T23:30:00.000Z,2018-02-23T23:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),72036,43.7021065,-79.2538681,M1N 1J3
971,154429,2018-06-11T04:31:00.000Z,2018-06-11T04:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),142509,43.7050209,-79.25103,M1N 1M2
956,152201,2018-08-23T15:19:00.000Z,2018-08-23T15:19:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),140002,43.7065697,-79.2491608,M1N 1M9
653,140698,2018-01-03T05:00:00.000Z,2018-01-10T05:08:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),129079,43.6897163,-79.267952,M1N 1R9
377,85575,2018-08-24T23:30:00.000Z,2018-08-25T00:06:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,123,Cliffcrest (123),79756,43.7111244,-79.2481842,M1N 1V3
947,146637,2018-02-15T10:37:00.000Z,2018-02-15T10:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,123,Cliffcrest (123),135406,43.7111244,-79.2481842,M1N 1V3
121,20770,2018-08-04T00:37:00.000Z,2018-08-04T00:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),19847,43.699131,-79.2543335,M1N 3K3
153,19789,2018-11-03T23:30:00.000Z,2018-11-03T23:44:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),18816,43.699131,-79.2543335,M1N 3K3
686,149216,2018-04-24T01:24:00.000Z,2018-04-24T01:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),137079,43.699131,-79.2543335,M1N 3K3
696,143008,2018-11-07T06:55:00.000Z,2018-11-07T06:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),132133,43.699131,-79.2543335,M1N 3K3
698,143009,2018-11-07T06:55:00.000Z,2018-11-07T06:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),132234,43.699131,-79.2543335,M1N 3K3
868,159750,2018-06-27T13:45:00.000Z,2018-06-27T13:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),147352,43.699131,-79.2543335,M1N 3K3
1302,30857,2018-01-31T10:30:00.000Z,2018-01-31T21:31:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,122,Birchcliffe-Cliffside (122),28332,43.699131,-79.2543335,M1N 3K3
0,16265,2018-01-06T11:09:00.000Z,2018-01-09T11:09:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,122,Birchcliffe-Cliffside (122),15016,43.7148438,-79.252243,M1N 3X3
645,137632,2018-03-29T20:15:00.000Z,2018-03-29T21:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,127,Bendale (127),127841,43.7537689,-79.2631149,M1P 0A2
99,21203,2018-01-05T16:00:00.000Z,2018-01-08T18:46:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),19131,43.7498207,-79.2821121,M1P 1S4
141,19868,2018-05-29T11:51:00.000Z,2018-05-29T11:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),18410,43.7694244,-79.2822571,M1P 2M8
1318,30774,2018-02-07T06:45:00.000Z,2018-02-07T19:47:00.000Z,Apartment,2120,200,B&E,Break and Enter,D41,126,Dorset Park (126),28759,43.7505608,-79.269783,M1P 2R7
556,99326,2018-05-11T20:00:00.000Z,2018-05-11T21:14:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),91811,43.7544174,-79.2509308,M1P 2V6
642,137895,2018-05-30T23:00:00.000Z,2018-05-30T23:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,127,Bendale (127),127199,43.7669296,-79.262207,M1P 3Y2
334,83579,2018-06-14T23:28:00.000Z,2018-06-14T23:28:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),77092,43.7685051,-79.2853088,M1P 4S3
245,32353,2018-11-04T15:26:00.000Z,2018-11-04T17:28:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),29488,43.7715759,-79.2859497,M1P 4T9
6,16824,2018-05-09T18:00:00.000Z,2018-05-09T18:11:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),15329,43.7689018,-79.285553,M1P 4V1
859,160280,2018-08-27T18:55:00.000Z,2018-08-27T18:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),147110,43.7689018,-79.285553,M1P 4V1
488,91655,2018-12-10T22:29:00.000Z,2018-12-10T22:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),84419,43.7506104,-79.2681274,M1P 4V3
607,103802,2018-09-19T10:30:00.000Z,2018-09-19T11:13:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,126,Dorset Park (126),95406,43.7506104,-79.2681274,M1P 4V3
7,16594,2018-05-15T08:27:00.000Z,2018-05-15T08:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),15469,43.7725296,-79.2546463,M1P 4Y7
958,152556,2018-09-17T19:00:00.000Z,2018-09-23T09:21:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,127,Bendale (127),140500,43.7725296,-79.2546463,M1P 4Y7
129,20358,2018-05-19T14:50:00.000Z,2018-05-19T14:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),18063,43.7303886,-79.3050003,M1R 1P1
130,20359,2018-05-19T14:50:00.000Z,2018-05-19T14:51:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),18064,43.7303886,-79.3050003,M1R 1P1
492,91561,2018-09-25T23:00:00.000Z,2018-10-09T10:59:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,119,Wexford/Maryvale (119),84561,43.7288933,-79.3043823,M1R 1P1
776,155272,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),143101,43.742466,-79.2967377,M1R 1Y7
777,155273,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),143102,43.742466,-79.2967377,M1R 1Y7
982,154832,2018-06-18T18:30:00.000Z,2018-06-18T18:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),142784,43.742466,-79.2967377,M1R 1Y7
626,108453,2018-12-19T16:37:00.000Z,2018-12-19T16:37:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),100126,43.747963,-79.311821,M1R 2V2
722,144018,2018-03-17T20:29:00.000Z,2018-03-17T20:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),133653,43.747963,-79.311821,M1R 2V2
723,144019,2018-03-17T20:29:00.000Z,2018-03-17T20:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),133654,43.747963,-79.311821,M1R 2V2
986,156700,2018-08-11T15:55:00.000Z,2018-08-11T16:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),144099,43.7348785,-79.301239,M1R 5H4
156,19803,2018-06-28T22:30:00.000Z,2018-06-28T22:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),18830,43.7781525,-79.2814713,M1S 0G5
157,19804,2018-06-28T22:30:00.000Z,2018-06-28T22:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),18831,43.7781525,-79.2814713,M1S 0G5
194,30945,2018-03-07T22:53:00.000Z,2018-03-07T22:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),28519,43.7794762,-79.2820663,M1S 0G5
1241,19705,2018-04-27T13:00:00.000Z,2018-05-04T14:41:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,128,Agincourt South-Malvern West (128),18357,43.7872162,-79.2792892,M1S 1R5
814,153114,2018-12-04T14:20:00.000Z,2018-12-04T14:23:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,117,L'Amoreaux (117),141396,43.7777443,-79.324173,M1T 1A5
433,86706,2018-06-23T20:26:00.000Z,2018-06-23T20:26:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,118,Tam O'Shanter-Sullivan (118),80827,43.7827148,-79.2989807,M1T 3N1
